"Collection Name","Title#1","Name#1","Name URI#1","Name#2","Name URI#2","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Place Created#1","Publisher#1","Date Issued#1","Date Created#1","Date Captured#1","Edition#1","Language Term#1","Language Term URI#1","Language Term Type#1","Extent#1","Physical Description Note#1","Internet Media Type#1","Digital Origin#1","Form#1#1","Form URI#1#1","Abstract#1","Note#1","Note Type#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Name#1","Subject Name URI#1","Subject Name#2","Subject Name URI#2","Subject Name#3","Subject Name URI#3","Subject Name#4","Subject Name URI#4","Subject Geographic#1","Subject Geographic URI#1","Identifier#1","Physical Location#1","Physical Location Type#1","Shelf Locator#1","Access Condition#1","Access ConditionURI#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL","lnexp_IMAGEURL:4"
"CU Japanese and Japanese American Community History Project","""A Report from the Last General Assembly of the AFSUC""","Foreign Students Council. Newsletter Committee, author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Newsletters","http://id.loc.gov/authorities/genreForms/gf2014026131","Boulder (Colo.)","","","1973-11-01","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","7 pages","","application/pdf","reformatted digital","newsletters","http://vocab.getty.edu/aat/300026652","Foreign Student Council Newsletter. November 1973, Vol. II, no. 2. “A report from the last assembly of the AFSUC”","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","","","","","","","","","","","narv_cosmoClub_05_01_lastGenAssemblyReport.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","116","4768","narv_cosmoClub_05_01_lastGenAssemblyReport.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~116~272068","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_05_01_lastGenAssemblyReport.pdf"
"CU Japanese and Japanese American Community History Project","""Alphabetical List of Foreign Students""","Unidentified author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Registers (lists)","http://id.loc.gov/authorities/genreForms/gf2014026166","Boulder (Colo.)","","","Undated","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page","","application/pdf","reformatted digital","registers (lists)","http://vocab.getty.edu/aat/300027168","Page 9 of unknown title typed name list with handwritten editing","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Hagiwara, Toru","","Hasegawa, Katsuya","","Hiraoka, Yuriko","","Hirose, Sayako","","","","narv_cosmoClub_05_03_alphaListForeignUndated.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","133","4768","narv_cosmoClub_05_03_alphaListForeignUndated.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~133~272038","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_05_03_alphaListForeignUndated.pdf"
"CU Japanese and Japanese American Community History Project","""Asian Students View the Future of Southeast Asia""","McWilliams, Carole , author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Newspapers","http://id.loc.gov/authorities/genreForms/gf2014026132","Boulder (Colo.)","","","1973-03-15","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page","","application/pdf","reformatted digital","newspaper columns","http://vocab.getty.edu/aat/300026441","Among the five asian CU students who gave their views on future Southeast Asia, Stephen Sasaki was one of them.","An article cutout from Boulder Daily Camera, March 15, 1973, page 9.","local","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","Sasaki, Stephen","","","","","","","","","","narv_cosmoClub_04_05_asianStudentsView.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","110","4768","narv_cosmoClub_04_05_asianStudentsView.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~110~272090","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_04_05_asianStudentsView.pdf"
"CU Japanese and Japanese American Community History Project","""At the invitation of Mr. Fred Aden""","Black, Grace, author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Business correspondence","http://id.loc.gov/authorities/genreForms/gf2014026054","Boulder (Colo.)","","","1927-10-14","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page","","application/pdf","reformatted digital","correspondence","http://vocab.getty.edu/aat/300026877","October 14, 1927, the meeting was organized by Mr. Fred Aden. The Cosmopolitan Club was reorganized, and officers were elected. Frank Kagohara, President; J.M. Porter, Vice-President; Treasurer. Among 24 guests, 22 signed up for membership.","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","Cosmopolitan Club (University of Colorado)","","Kagohara, Frank","","Isoshima, Marguerite","","","","","","","","narv_cosmoClub_02_01_FredAllen.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","84","4768","narv_cosmoClub_02_01_FredAllen.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~84~272136","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_02_01_FredAllen.pdf"
"CU Japanese and Japanese American Community History Project","""Campaign Organization Central Committee""","Unidentified author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Registers (lists)","http://id.loc.gov/authorities/genreForms/gf2014026166","Boulder (Colo.)","","","Undated","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page","","application/pdf","reformatted digital","registers (lists)","http://vocab.getty.edu/aat/300027168","Handwritten name list of a campaign. (Regional campaign chairmen, Japanese Thomatsu)","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","","","","","","","","","","","narv_cosmoClub_04_06_campaignOrg.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","111","4768","narv_cosmoClub_04_06_campaignOrg.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~111~272080","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_04_06_campaignOrg.pdf"
"CU Japanese and Japanese American Community History Project","""City, university stand ready to communicate, work on issues""","Downing, Shelley, author","","","","Still image","https://id.loc.gov/vocabulary/resourceTypes/img.html","Newspapers","http://id.loc.gov/authorities/genreForms/gf2014026132","Boulder (Colo.)","","","1993-10-28","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","2 pages","","application/pdf","reformatted digital","newspaper columns","http://vocab.getty.edu/aat/300026441","Silver & Gold Record. Thursday, Oct. 28, 1993. Vol. XXIV, no. 10. pages 1-2. ""City, university stand ready to communicate, work on issues""","","","University of Colorado Boulder","http://id.worldcat.org/fast/557277","","","","","","","","","","","Colorado--Boulder","http://id.worldcat.org/fast/1206092","narv_silverGoldRecord_cityUnivStandReady_102893.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","Silver & Gold Record 1993-1994","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","189","4768","narv_silverGoldRecord_cityUnivStandReady_102893.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~189~272234","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_silverGoldRecord_cityUnivStandReady_102893.pdf"
"CU Japanese and Japanese American Community History Project","""Cosmopolitan Club Gives Banquet""","Unidentified author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Newspapers","http://id.loc.gov/authorities/genreForms/gf2014026132","Boulder (Colo.)","","","Undated","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","2 pages","","application/pdf","reformatted digital","newspaper columns","http://vocab.getty.edu/aat/300026441","Multiple cutouts of unknown newspaper articles about Cosmopolitan Club. “The Cosmopolitan Club of the University will meet tonight […]” has handwritten date of “Oct. 6/1923.” “Cosmopolitan Club Gives Banquet” indicates T. Hirose of Japan gave speech. “Cosmopolitan Club Banquet at Boulder” indicates T. Hirose acted as toastmaster. “Cosmopolitan Club Gave Dinner to Notable” indicates T. Hirose gave short talks. ","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","Cosmopolitan Club (University of Colorado)","","Hirose, T.","","","","","","","","","","narv_cosmoClub_02_01_banquet.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","81","4768","narv_cosmoClub_02_01_banquet.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~81~272138","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_02_01_banquet.pdf"
"CU Japanese and Japanese American Community History Project","""CU has allowed study of Japan to virtually disappear on campus""","Lebra, Joyce, 1925-, author","http://id.loc.gov/authorities/names/n50046460","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Newspapers","http://id.loc.gov/authorities/genreForms/gf2014026132","Boulder (Colo.)","","","1993-09-16","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","1 page","","application/pdf","reformatted digital","newspaper columns","http://vocab.getty.edu/aat/300026441","Silver & Gold Record. Thursday, Sept 16, 1993. page 2. Under ""People on campus"" section, 'CU has allowed study of Japan to virtually disappear on campus' ","","","Japanese language--Study and teaching (Higher)","http://id.worldcat.org/fast/981743","","","","","","","","","","","","","narv_silverGoldRecord_CUallowedStudyJapan_091693.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","Silver & Gold Record 1993-1994","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","188","4768","narv_silverGoldRecord_CUallowedStudyJapan_091693.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~188~272232","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_silverGoldRecord_CUallowedStudyJapan_091693.pdf"
"CU Japanese and Japanese American Community History Project","""CU Office of Special Services Statistical Analysis of Foreign Students""","University of Colorado Boulder. Office of Special Services, author","","","","Text","https://id.loc.gov/vocabulary/resourceTypes/txt.html","Statistics","","Boulder (Colo.)","","","1963-10-16","2020-07-13","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","3 pages","","application/pdf","reformatted digital","reports","http://vocab.getty.edu/aat/300027267","University of Colorado Office of Special Services. Statistical Analysis of Foreign Students. Oct. 16, 1963.","","","Minorities in higher education","http://id.worldcat.org/fast/1741187","","","","","","","","","","","","","narv_cosmoClub_01_04_cuSpecialServ101663.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:4044","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","163","4768","narv_cosmoClub_01_04_cuSpecialServ101663.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~163~272158","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cosmoClub_01_04_cuSpecialServ101663.pdf"
"CU Japanese and Japanese American Community History Project","""Don't Fence Me Out"" Immigration paper highlighting law professor Hiroshi Motomura","McClung, Kathey, author","","Farley, Malcolm, illustrator","","Still image","https://id.loc.gov/vocabulary/resourceTypes/img.html","Periodicals ","","Boulder (Colo.)","","","Undated","2020-04-07","","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO 639-2","4 pages","","application/pdf","reformatted digital","periodicals ","http://vocab.getty.edu/aat/300026657","An articlen “Don’t Fence Me Out: Immigration creates fierce debate throughout the world” by Kathy McClurg from SUMMIT MAGAZINE, Winter 1995-96, pages 8-11, with illustrations by Malcolm Farley, and photo of Hiroshi Motomura by Ken Abbott. “Nothing is more fundamental to our way of life than deciding who ‘we the people’ are,” says law professor Hiroshi Motomura. ","","","Law teachers","http://id.worldcat.org/fast/994155","","","Motomura, Hiroshi, 1953-","http://id.loc.gov/authorities/names/n95040776","","","","","","","","","narv_cuHistoryPeople_06_MotomuraFenceOut.pdf","Special Collections and Archives at the University of Colorado Boulder Libraries","local","COU:2543","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","https://rightsstatements.org/page/InC/1.0/?language=en","172","4768","narv_cuHistoryPeople_06_MotomuraFenceOut.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~19~19~172~272027","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/MISC/CUB~19~19/4768/narv_cuHistoryPeople_06_MotomuraFenceOut.pdf"
